participant_uid,participant_index,participant_id_raw,prolific_id,row_id,n_trials,n_success,total_steps_success,mean_steps_success,total_time_success_sec,mean_time_success_sec
P_1769024040967_evnpep8tk,1,P_1769024040967_evnpep8tk,60dca45abca3eb229bafdedf,61,14,14,32,2.2857142857142856,1591.4920000000002,113.67800000000001
P_1769028009753_pa0qcw3cf,2,P_1769028009753_pa0qcw3cf,673a894b553d8c3fb9061274,66,14,14,34,2.4285714285714284,840.618,60.04414285714286
P_1769029265911_ghekvzbk7,3,P_1769029265911_ghekvzbk7,60e57feb23c4a643ed01ca26,67,14,14,30,2.142857142857143,453.2529999999999,32.37521428571428
P_1769030144835_mdzrd0urd,4,P_1769030144835_mdzrd0urd,5f6152406f6e560f32b0cfe4,79,14,14,39,2.7857142857142856,532.415,38.02964285714285
P_1769032135427_mwu2cnmey,5,P_1769032135427_mwu2cnmey,69657262923a8424b8926875,111,14,14,53,3.7857142857142856,713.4500000000002,50.960714285714296
P_1769032566401_7v6dxp0ys,6,P_1769032566401_7v6dxp0ys,642ef01a04c9f327767cde23,116,14,14,66,4.714285714285714,1514.8419999999999,108.20299999999999
P_1769032697144_ortl9e9kr,7,P_1769032697144_ortl9e9kr,6672fb66728df1edb72c1568,122,14,14,28,2.0,946.8880000000003,67.63485714285716
P_1769032023139_3mzliskl7,8,P_1769032023139_3mzliskl7,5f668a416b792f26ef5ea974,133,14,14,48,3.4285714285714284,810.7689999999999,57.91207142857142
P_1769032694626_poflme9zw,9,P_1769032694626_poflme9zw,67665f7b0329bd3e30515ad2,154,14,14,30,2.142857142857143,1147.782,81.98442857142857
P_1769033412195_cudazu9tc,10,P_1769033412195_cudazu9tc,6932924be6c91fad3d38ca24,161,14,14,147,10.5,1887.2779999999998,134.80557142857143
P_1769037129418_uclsoafha,11,P_1769037129418_uclsoafha,5e80b109ca1800791e1ca40c,167,14,14,53,3.7857142857142856,1349.827,96.41621428571429
P_1769037583531_idthrolte,12,P_1769037583531_idthrolte,5e11ff6f814bba8816cca900,169,14,14,49,3.5,1517.589,108.39921428571428
P_1769078345787_ufwcfozbp,13,P_1769078345787_ufwcfozbp,5a33e4a10758280001030ce5,171,14,14,42,3.0,542.523,38.75164285714286
P_1769078442975_3qiconqhy,14,P_1769078442975_3qiconqhy,5c62de3f48fe4e000180e09d,172,14,14,39,2.7857142857142856,1121.6129999999998,80.11521428571427
P_1769080654014_3oz7ljus8,15,P_1769080654014_3oz7ljus8,634d7250a9dbe47b2b1d110f,178,14,14,38,2.7142857142857144,910.7260000000001,65.05185714285714
P_1769083251216_7drm84wpn,16,P_1769083251216_7drm84wpn,55e876f25e4d360012cc283d,190,14,14,51,3.642857142857143,1204.8709999999999,86.06221428571428
P_1769098338795_kzmexw9lj,17,P_1769098338795_kzmexw9lj,5755c957eb80c4000741a9ce,198,14,14,51,3.642857142857143,582.0409999999999,41.57435714285714
P_1769100126952_29fvefcdc,18,P_1769100126952_29fvefcdc,676b89007874c8eace113276,210,14,14,41,2.9285714285714284,679.8049999999998,48.55749999999999
P_1769113915554_1wqj9bp6r,19,P_1769113915554_1wqj9bp6r,5cb7852e044ae900011ff74e,216,14,14,34,2.4285714285714284,1096.153,78.29664285714286
P_1769252147621_u8aeiyq60,20,P_1769252147621_u8aeiyq60,6659c64e90a02f94c92e944d,219,14,14,61,4.357142857142857,2269.569,162.11207142857143
P_1769261232574_hyj3c7t22,21,P_1769261232574_hyj3c7t22,67657279b0bce380fa33721e,223,14,14,35,2.5,676.24,48.30285714285714
P_1769079140223_6obbhgpv0,22,P_1769079140223_6obbhgpv0,56afa11aabec410005a56534,174,14,13,52,4.0,1127.5969999999998,86.73823076923075
P_1769102181261_f2nxrhrxk,23,P_1769102181261_f2nxrhrxk,65e4a6bdde84e615dcac2651,212,14,13,25,1.9230769230769231,714.9390000000001,54.9953076923077
P_1769251832003_mcaylud0y,24,P_1769251832003_mcaylud0y,67d4773442ee746bb00b2542,218,14,13,38,2.923076923076923,844.4939999999999,64.96107692307692
P_1769029307983_85g37540x,25,P_1769029307983_85g37540x,5b826da908ee760001522a91,71,14,11,73,6.636363636363637,652.9569999999999,59.35972727272726
P_1769029294465_dtq2u4zb9,26,P_1769029294465_dtq2u4zb9,60f716c8e672d09c3ba24006,91,14,10,61,6.1,889.7710000000001,88.97710000000001
P_1769030103067_dl90jq9kw,27,P_1769030103067_dl90jq9kw,654e37a130d94b47675dcebe,72,14,9,62,6.888888888888889,1172.731,130.30344444444444
P_1769034954030_bxiykamr2,28,P_1769034954030_bxiykamr2,64a9858be9b52e570ffb3c1e,160,14,9,64,7.111111111111111,2408.4719999999998,267.60799999999995
P_1769032758680_6xrth29oz,29,P_1769032758680_6xrth29oz,62aa591a476ebabe28612a92,159,14,8,56,7.0,794.608,99.326
P_1769079281739_wol3qy44n,30,P_1769079281739_wol3qy44n,5c5844d8dd470300014ee3f1,182,14,8,44,5.5,1595.173,199.396625
