participant_uid,participant_index,trial_number,pattern_id,success,solution_sequence_ops,solution_sequence_ops_json,solution_sequence_steps_json,solution_sequence_symbolic_json,solution_sequence_symbolic_str,solution_signature,steps_count,time_spent_sec
P_1769024040967_evnpep8tk,1,1,1,1,reflect_h -> add -> reflect_v -> add -> add,"[""reflect_h"",""add"",""reflect_v"",""add"",""add""]","[""reflect_h"",""add"",""reflect_v"",""add"",""add""]","[""W1 = reflect_h(line_h)"",""W2 = add(line_h, W1)"",""W3 = reflect_v(line_v)"",""W4 = add(W3, line_v)"",""W5 = add(W2, W4)""]","W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = reflect_v(line_v) ; W4 = add(W3, line_v) ; W5 = add(W2, W4)",reflect_h|add|reflect_v|add|add,5,138.758
P_1769024040967_evnpep8tk,1,2,2,1,add -> add,"[""add"",""add""]","[""add"",""add""]","[""W1 = add(H2, H4)"",""W2 = add(square, W1)""]","W1 = add(H2, H4) ; W2 = add(square, W1)",add|add,2,48.598
P_1769024040967_evnpep8tk,1,3,3,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H6)""]",W1 = invert(H6),invert,1,11.373
P_1769024040967_evnpep8tk,1,4,4,1,invert -> reflect_v -> invert -> overlap -> invert -> overlap -> subtract,"[""invert"",""reflect_v"",""invert"",""overlap"",""invert"",""overlap"",""subtract""]","[""invert"",""reflect_v"",""invert"",""overlap"",""invert"",""overlap"",""subtract""]","[""W1 = invert(diag)"",""W2 = reflect_v(diag)"",""W3 = invert(W2)"",""W4 = overlap(W1, W3)"",""W5 = invert(square)"",""W6 = overlap(W5, W4)"",""W7 = subtract(W4, W6)""]","W1 = invert(diag) ; W2 = reflect_v(diag) ; W3 = invert(W2) ; W4 = overlap(W1, W3) ; W5 = invert(square) ; W6 = overlap(W5, W4) ; W7 = subtract(W4, W6)",invert|reflect_v|invert|overlap|invert|overlap|subtract,7,331.634
P_1769024040967_evnpep8tk,1,5,5,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H13)""]",W1 = invert(H13),invert,1,41.073
P_1769024040967_evnpep8tk,1,6,6,1,add,"[""add""]","[""add""]","[""W1 = add(H13, H13)""]","W1 = add(H13, H13)",add,1,15.538
P_1769024040967_evnpep8tk,1,7,7,1,invert -> add,"[""invert"",""add""]","[""invert"",""add""]","[""W1 = invert(H11)"",""W2 = add(H5, W1)""]","W1 = invert(H11) ; W2 = add(H5, W1)",invert|add,2,52.571
P_1769024040967_evnpep8tk,1,8,8,1,overlap,"[""overlap""]","[""overlap""]","[""W1 = overlap(H4, H2)""]","W1 = overlap(H4, H2)",overlap,1,149.176
P_1769024040967_evnpep8tk,1,9,9,1,overlap -> add,"[""overlap"",""add""]","[""overlap"",""add""]","[""W1 = overlap(H4, H2)"",""W2 = add(square, W1)""]","W1 = overlap(H4, H2) ; W2 = add(square, W1)",overlap|add,2,163.382
P_1769024040967_evnpep8tk,1,10,10,1,add -> invert,"[""add"",""invert""]","[""add"",""invert""]","[""W1 = add(H17, square)"",""W2 = invert(W1)""]","W1 = add(H17, square) ; W2 = invert(W1)",add|invert,2,61.834
