participant_uid,participant_index,trial_number,pattern_id,test_name,success,submitted,started_at,time_spent_ms,time_spent_sec,steps_count_field,steps_len,operations_len,sequence_ops_raw_json,sequence_ops_canonical_json,sequence_ops_canonical_str,sequence_ops_signature,sequence_steps_canonical_json,sequence_steps_symbolic_json,sequence_steps_symbolic_str,helper_add_count,helper_use_count,preview_count,undo_count,primitive_click_count,binary_click_count,transform_click_count,button_click_count,target_pattern_json
P_1769024040967_evnpep8tk,1,1,1,Pattern-01,1,1,1769024376732,138758,138.758,5,5,5,"[""reflect_horizontal(•)"",""add(•, 1)"",""reflect_vertical(•)"",""add(3, •)"",""add(2, 4)""]","[""reflect_h"",""add"",""reflect_v"",""add"",""add""]",reflect_h -> add -> reflect_v -> add -> add,reflect_h|add|reflect_v|add|add,"[""reflect_h"",""add"",""reflect_v"",""add"",""add""]","[""W1 = reflect_h(line_h)"",""W2 = add(line_h, W1)"",""W3 = reflect_v(line_v)"",""W4 = add(W3, line_v)"",""W5 = add(W2, W4)""]","W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = reflect_v(line_v) ; W4 = add(W3, line_v) ; W5 = add(W2, W4)",4,5,5,1,6,4,2,12,"[[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0]]"
P_1769024040967_evnpep8tk,1,2,2,Pattern-02,1,1,1769024517498,48598,48.598,2,2,2,"[""add(•, •)"",""add(•, 1)""]","[""add"",""add""]",add -> add,add|add,"[""add"",""add""]","[""W1 = add(H2, H4)"",""W2 = add(square, W1)""]","W1 = add(H2, H4) ; W2 = add(square, W1)",2,5,2,1,5,5,0,10,"[[1,1,1,1,1,1,1,1,1,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,1,1,1,1,1,1,1,1,1]]"
P_1769024040967_evnpep8tk,1,3,3,Pattern-03,1,1,1769024568105,11373,11.373,1,1,1,"[""invert(•)""]","[""invert""]",invert,invert,"[""invert""]","[""W1 = invert(H6)""]",W1 = invert(H6),1,1,1,1,0,0,1,1,"[[0,0,0,0,0,0,0,0,0,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,0,0,0,0,0,0,0,0,0]]"
P_1769024040967_evnpep8tk,1,4,4,Pattern-04,1,1,1769024581486,331634,331.634,7,7,7,"[""invert(•)"",""reflect_vertical(•)"",""invert(•)"",""overlap(1, 3)"",""invert(•)"",""overlap(5, 4)"",""subtract(4, 6)""]","[""invert"",""reflect_v"",""invert"",""overlap"",""invert"",""overlap"",""subtract""]",invert -> reflect_v -> invert -> overlap -> invert -> overlap -> subtract,invert|reflect_v|invert|overlap|invert|overlap|subtract,"[""invert"",""reflect_v"",""invert"",""overlap"",""invert"",""overlap"",""subtract""]","[""W1 = invert(diag)"",""W2 = reflect_v(diag)"",""W3 = invert(W2)"",""W4 = overlap(W1, W3)"",""W5 = invert(square)"",""W6 = overlap(W5, W4)"",""W7 = subtract(W4, W6)""]","W1 = invert(diag) ; W2 = reflect_v(diag) ; W3 = invert(W2) ; W4 = overlap(W1, W3) ; W5 = invert(square) ; W6 = overlap(W5, W4) ; W7 = subtract(W4, W6)",7,31,16,1,24,15,10,49,"[[0,1,1,1,1,1,1,1,1,0],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[0,1,1,1,1,1,1,1,1,0]]"
P_1769024040967_evnpep8tk,1,5,5,Pattern-05,1,1,1769024915133,41073,41.073,1,1,1,"[""invert(•)""]","[""invert""]",invert,invert,"[""invert""]","[""W1 = invert(H13)""]",W1 = invert(H13),1,2,1,1,0,0,1,1,"[[1,1,1,1,1,1,1,1,1,1],[1,1,0,0,0,0,0,0,1,1],[1,0,1,0,0,0,0,1,0,1],[1,0,0,1,0,0,1,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,1,0,0,1,0,0,1],[1,0,1,0,0,0,0,1,0,1],[1,1,0,0,0,0,0,0,1,1],[1,1,1,1,1,1,1,1,1,1]]"
P_1769024040967_evnpep8tk,1,6,6,Pattern-06,1,1,1769024958216,15538,15.538,1,1,1,"[""add(•, •)""]","[""add""]",add,add,"[""add""]","[""W1 = add(H13, H13)""]","W1 = add(H13, H13)",0,3,1,1,0,1,0,1,"[[0,0,0,0,0,0,0,0,0,0],[0,0,1,1,1,1,1,1,0,0],[0,1,0,1,1,1,1,0,1,0],[0,1,1,0,1,1,0,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,0,1,1,0,1,1,0],[0,1,0,1,1,1,1,0,1,0],[0,0,1,1,1,1,1,1,0,0],[0,0,0,0,0,0,0,0,0,0]]"
P_1769024040967_evnpep8tk,1,7,7,Pattern-07,1,1,1769024975762,52571,52.571,2,2,2,"[""invert(•)"",""add(•, 1)""]","[""invert"",""add""]",invert -> add,invert|add,"[""invert"",""add""]","[""W1 = invert(H11)"",""W2 = add(H5, W1)""]","W1 = invert(H11) ; W2 = add(H5, W1)",1,4,2,1,0,2,1,3,"[[1,0,0,0,1,1,0,0,0,1],[0,1,0,0,1,1,0,0,1,0],[0,0,1,0,1,1,0,1,0,0],[0,0,0,1,1,1,1,0,0,0],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[0,0,0,1,1,1,1,0,0,0],[0,0,1,0,1,1,0,1,0,0],[0,1,0,0,1,1,0,0,1,0],[1,0,0,0,1,1,0,0,0,1]]"
P_1769024040967_evnpep8tk,1,8,8,Pattern-08,1,1,1769025030341,149176,149.176,1,1,1,"[""overlap(•, •)""]","[""overlap""]",overlap,overlap,"[""overlap""]","[""W1 = overlap(H4, H2)""]","W1 = overlap(H4, H2)",0,8,2,1,0,2,0,2,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]"
P_1769024040967_evnpep8tk,1,9,9,Pattern-09,1,1,1769025181528,163382,163.382,2,2,2,"[""overlap(•, •)"",""add(•, 1)""]","[""overlap"",""add""]",overlap -> add,overlap|add,"[""overlap"",""add""]","[""W1 = overlap(H4, H2)"",""W2 = add(square, W1)""]","W1 = overlap(H4, H2) ; W2 = add(square, W1)",1,4,2,1,1,2,0,3,"[[1,1,1,1,1,1,1,1,1,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,1,1,1,1,1,1,1,1,1]]"
P_1769024040967_evnpep8tk,1,10,10,Pattern-10,1,1,1769025346922,61834,61.834,2,2,2,"[""add(•, •)"",""invert(•)""]","[""add"",""invert""]",add -> invert,add|invert,"[""add"",""invert""]","[""W1 = add(H17, square)"",""W2 = invert(W1)""]","W1 = add(H17, square) ; W2 = invert(W1)",1,2,2,1,1,1,1,3,"[[0,0,0,0,0,0,0,0,0,0],[0,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,0],[0,0,0,0,0,0,0,0,0,0]]"
