participant_uid,participant_index,trial_number,pattern_id,success,source,action,timestamp,op_fn,operation_text,pattern_key,pattern_json,favorite_id,helper_id
P_1769024040967_evnpep8tk,1,1,1,1,favoriteActions,add,1769024402213,reflect_horizontal,reflect_horizontal(•),pat_309ac3ab174c34af,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,1,1,1,1,1,1,1],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",fav_1769024402213_302,H1
P_1769024040967_evnpep8tk,1,1,1,1,favoriteActions,use,1769024406753,reflect_horizontal,reflect_horizontal(•),pat_309ac3ab174c34af,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,1,1,1,1,1,1,1],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",fav_1769024402213_302,H1
P_1769024040967_evnpep8tk,1,1,1,1,favoriteActions,add,1769024410181,add,"add(•, 1)",pat_c8831b8bf05db690,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",fav_1769024410181_113,H2
P_1769024040967_evnpep8tk,1,1,1,1,favoriteActions,add,1769024420190,reflect_vertical,reflect_vertical(•),pat_6db72011d826e443,"[[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",fav_1769024420190_897,H3
P_1769024040967_evnpep8tk,1,1,1,1,favoriteActions,use,1769024422876,reflect_vertical,reflect_vertical(•),pat_6db72011d826e443,"[[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",fav_1769024420190_897,H3
P_1769024040967_evnpep8tk,1,1,1,1,favoriteActions,use,1769024424953,reflect_vertical,reflect_vertical(•),pat_6db72011d826e443,"[[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0]]",fav_1769024420190_897,H3
P_1769024040967_evnpep8tk,1,1,1,1,favoriteActions,add,1769024458949,add,"add(3, •)",pat_07036ac7784e9183,"[[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0]]",fav_1769024458948_710,H4
P_1769024040967_evnpep8tk,1,1,1,1,favoriteActions,use,1769024510928,add,"add(•, 1)",pat_c8831b8bf05db690,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",fav_1769024410181_113,H2
P_1769024040967_evnpep8tk,1,1,1,1,favoriteActions,use,1769024512270,add,"add(3, •)",pat_07036ac7784e9183,"[[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0]]",fav_1769024458948_710,H4
P_1769024040967_evnpep8tk,1,1,1,1,previewActions,confirm,1769024399420,,,,,,
