participant_index,trial_number,pattern_id,success,n_steps,program_ops,program_symbolic,helpers_used,helpers_used_expanded,helpers_created_this_trial,helper_library_size
1,1,1,1,5,reflect_h -> add -> reflect_v -> add -> add,"W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = reflect_v(line_v) ; W4 = add(W3, line_v) ; W5 = add(W2, W4)",,,"H1,H2,H3,H4",4
1,2,2,1,2,add -> add,"W1 = add(H2, H4) ; W2 = add(square, W1)","H2,H4","H2=W1 = reflect_h(line_h) ; W2 = add(line_h, W1) | H4=W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = reflect_v(line_v) ; W4 = add(W3, line_v)","H5,H6",6
1,3,3,1,1,invert,W1 = invert(H6),H6,"H6=W1 = add(H2, H4) ; W2 = add(square, W1)",H7,7
1,4,4,1,7,invert -> reflect_v -> invert -> overlap -> invert -> overlap -> subtract,"W1 = invert(diag) ; W2 = reflect_v(diag) ; W3 = invert(W2) ; W4 = overlap(W1, W3) ; W5 = invert(square) ; W6 = overlap(W5, W4) ; W7 = subtract(W4, W6)",,,"H8,H9,H10,H11,H12,H13,H14",14
1,5,5,1,1,invert,W1 = invert(H13),H13,"H13=W1 = invert(diag) ; W2 = reflect_v(diag) ; W3 = invert(W2) ; W4 = overlap(W1, W3) ; W5 = invert(square) ; W6 = overlap(W5, W4)",H15,15
1,6,6,1,1,add,"W1 = add(H13, H13)",H13,"H13=W1 = invert(diag) ; W2 = reflect_v(diag) ; W3 = invert(W2) ; W4 = overlap(W1, W3) ; W5 = invert(square) ; W6 = overlap(W5, W4)",,15
1,7,7,1,2,invert -> add,"W1 = invert(H11) ; W2 = add(H5, W1)","H5,H11","H5=W1 = add(H2, H4) | H11=W1 = invert(diag) ; W2 = reflect_v(diag) ; W3 = invert(W2) ; W4 = overlap(W1, W3)",H16,16
1,8,8,1,1,overlap,"W1 = overlap(H4, H2)","H2,H4","H2=W1 = reflect_h(line_h) ; W2 = add(line_h, W1) | H4=W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = reflect_v(line_v) ; W4 = add(W3, line_v)",,16
1,9,9,1,2,overlap -> add,"W1 = overlap(H4, H2) ; W2 = add(square, W1)","H2,H4","H2=W1 = reflect_h(line_h) ; W2 = add(line_h, W1) | H4=W1 = reflect_h(line_h) ; W2 = add(line_h, W1) ; W3 = reflect_v(line_v) ; W4 = add(W3, line_v)",H17,17
1,10,10,1,2,add -> invert,"W1 = add(H17, square) ; W2 = invert(W1)",H17,"H17=W1 = overlap(H4, H2)",H18,18
1,11,11,1,2,invert -> add,"W1 = invert(H5) ; W2 = add(H17, W1)","H5,H17","H5=W1 = add(H2, H4) | H17=W1 = overlap(H4, H2)",H19,19
1,12,12,1,3,invert -> add -> subtract,"W1 = invert(square) ; W2 = add(square, W1) ; W3 = subtract(H6, H17)","H6,H17","H6=W1 = add(H2, H4) ; W2 = add(square, W1) | H17=W1 = overlap(H4, H2)","H20,H21",21
1,13,13,1,1,subtract,"W1 = subtract(H16, H17)","H16,H17","H16=W1 = invert(H11) | H17=W1 = overlap(H4, H2)",H22,22
1,14,14,1,2,add -> subtract,"W1 = add(H5, H22) ; W2 = subtract(W1, H17)","H5,H17,H22","H5=W1 = add(H2, H4) | H17=W1 = overlap(H4, H2) | H22=W1 = subtract(H16, H17)","H23,H24",24
2,1,1,1,5,add -> reflect_h -> reflect_v -> add -> add,"W1 = add(line_v, line_h) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4)",,,"H25,H27,H28,H29",4
2,2,2,1,1,add,"W1 = add(H29, square)",H29,"H29=W1 = add(line_v, line_h) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4)",,4
2,3,3,1,2,add -> invert,"W1 = add(H29, square) ; W2 = invert(W1)",H29,"H29=W1 = add(line_v, line_h) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4)",H30,5
2,4,4,1,4,add -> subtract -> reflect_v -> subtract,"W1 = add(square, square) ; W2 = subtract(square, diag) ; W3 = reflect_v(diag) ; W4 = subtract(W2, W3)",,,"H31,H32,H33",8
2,5,5,1,2,add -> add,"W1 = add(square, H32) ; W2 = add(W1, diag)",H32,"H32=W1 = add(square, square) ; W2 = subtract(square, diag) ; W3 = reflect_v(diag)",H34,9
2,6,6,1,2,add -> invert,"W1 = add(H34, diag) ; W2 = invert(W1)",H34,"H34=W1 = add(square, H32)",H35,10
2,7,7,1,2,add -> add,"W1 = add(H29, diag) ; W2 = add(W1, H32)","H29,H32","H29=W1 = add(line_v, line_h) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4) | H32=W1 = add(square, square) ; W2 = subtract(square, diag) ; W3 = reflect_v(diag)",H36,11
2,8,8,1,7,add -> subtract -> reflect_v -> reflect_h -> subtract -> subtract -> subtract,"W1 = add(line_v, line_h) ; W2 = subtract(H35, square) ; W3 = reflect_v(line_h) ; W4 = reflect_h(line_h) ; W5 = subtract(H29, square) ; W6 = subtract(W2, H30) ; W7 = subtract(W2, W6)","H29,H30,H35","H29=W1 = add(line_v, line_h) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4) | H30=W1 = add(H29, square) | H35=W1 = add(H34, diag)","H26,H37,H38,H39",15
2,9,9,1,1,add,"W1 = add(square, H39)",H39,"H39=W1 = add(line_v, line_h) ; W2 = subtract(H35, square) ; W3 = reflect_v(line_h) ; W4 = reflect_h(line_h) ; W5 = subtract(H29, square) ; W6 = subtract(W2, H30) ; W7 = subtract(W2, W6)",H40,16
2,10,10,1,1,invert,W1 = invert(H40),H40,"H40=W1 = add(square, H39)",H41,17
2,11,11,1,2,subtract -> invert,"W1 = subtract(H29, H39) ; W2 = invert(W1)","H29,H39","H29=W1 = add(line_v, line_h) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4) | H39=W1 = add(line_v, line_h) ; W2 = subtract(H35, square) ; W3 = reflect_v(line_h) ; W4 = reflect_h(line_h) ; W5 = subtract(H29, square) ; W6 = subtract(W2, H30) ; W7 = subtract(W2, W6)","H42,H43",19
