metric_type,index,n_trials,n_success,success_rate,mean_steps_success,mean_time_success_sec
by_stimulus,1,30,27,0.9,3.81,135.9
by_stimulus,2,30,26,0.8667,3.46,116.8
by_stimulus,3,30,24,0.8,4.58,169.9
by_stimulus,4,30,25,0.8333,6.16,160.5
by_stimulus,5,30,29,0.9667,4.0,72.6
by_stimulus,6,30,26,0.8667,4.15,132.4
by_stimulus,7,30,26,0.8667,5.04,126.2
by_stimulus,8,30,28,0.9333,4.25,94.6
by_stimulus,9,30,30,1.0,4.6,113.9
by_stimulus,10,30,27,0.9,3.74,189.1
by_stimulus,11,30,29,0.9667,4.17,985.2
by_stimulus,12,30,28,0.9333,3.86,81.5
by_stimulus,13,30,13,0.4333,5.62,222.4
by_stimulus,14,30,18,0.6,5.83,203.2
by_stimulus,15,30,21,0.7,4.95,175.0
by_stimulus,16,30,16,0.5333,5.25,146.0
