participant_uid,participant_index,score,n_trials,total_time_sec,mean_time_per_trial_sec,submission_time
P_1776076467791_qnxyewdji,1,16,16,664.8,41.6,2026-04-13 10:34:27
P_1776076866318_rlvcsw2fb,2,9,16,973.5,60.8,2026-04-13 10:41:06
P_1776076964556_udann2skg,3,15,16,2295.1,143.4,2026-04-13 10:42:44
P_1776078026338_dp5degbj9,4,16,16,3306.7,206.7,2026-04-13 11:00:26
P_1776081248345_9vtrg612j,5,11,16,1029.4,64.3,2026-04-13 11:54:08
P_1776081709138_jc0wtel9s,6,15,16,1060.3,66.3,2026-04-13 12:01:49
P_1776081846369_czxw3mrd3,7,16,16,1880.0,117.5,2026-04-13 12:04:06
P_1776081937827_8ceg0w5mb,8,13,16,1914.3,119.6,2026-04-13 12:05:37
P_1776081986855_pya6bsybt,9,8,16,1203.3,75.2,2026-04-13 12:06:26
P_1776082730289_m3rb7i2td,10,13,16,2232.1,139.5,2026-04-13 12:18:50
P_1776083017020_qwcdcg4xz,11,13,16,1791.8,112.0,2026-04-13 12:23:37
P_1776083079638_roz6uz77i,12,15,16,1093.3,68.3,2026-04-13 12:24:39
P_1776084324632_0971b4txt,13,16,16,980.1,61.3,2026-04-13 12:45:24
P_1776085905621_u7tj7g2bz,14,16,16,719.7,45.0,2026-04-13 13:11:45
P_1776086204891_vlkncmrcg,15,11,16,1523.8,95.2,2026-04-13 13:16:44
P_1776087340341_nafhjwhy0,16,16,16,2765.0,172.8,2026-04-13 13:35:40
P_1776087991412_mqx0vttl0,17,9,16,2962.4,185.2,2026-04-13 13:46:31
P_1776089780805_20nspvv7u,18,14,16,2309.7,144.4,2026-04-13 14:16:20
P_1776090977645_m1afujv6e,19,15,16,3555.9,222.2,2026-04-13 14:36:17
P_1767640088668_iobbtarsi,20,12,16,2360.0,147.5,2026-04-13 14:48:06
P_1776093745079_m5x7brkyx,21,10,16,2082.7,130.2,2026-04-13 15:22:25
P_1776097065833_csxssfp27,22,14,16,6912.1,432.0,2026-04-13 16:17:45
P_1776098412831_f9um1melp,23,13,16,4223.3,264.0,2026-04-13 16:40:12
P_1776101189570_82pfeo9kz,24,16,16,2457.0,153.6,2026-04-13 17:26:29
P_1776123971281_gnrvhvaiy,25,15,16,33978.5,2123.7,2026-04-13 23:46:11
P_1776161853381_hf1ocdqdp,26,10,16,1916.7,119.8,2026-04-14 10:17:33
P_1776162377931_indsa22n5,27,11,16,1062.5,66.4,2026-04-14 10:26:17
P_1776163956125_ufd5ntp4d,28,15,16,1063.5,66.5,2026-04-14 10:52:36
P_1776167051235_iw8ip4hqn,29,8,16,3876.8,242.3,2026-04-14 11:44:11
P_1776167441337_eekqqxi55,30,12,16,2398.5,149.9,2026-04-14 11:50:41
